Date;Open;High;Low;Close
01/01/2016;0.006040;0.006044;0.005933;0.005955
02/01/2016;0.005957;0.006079;0.005933;0.006065
03/01/2016;0.006066;0.006070;0.005988;0.006017
04/01/2016;0.006019;0.006059;0.005953;0.005958
05/01/2016;0.005954;0.006044;0.005953;0.006044
06/01/2016;0.006044;0.006044;0.005983;0.006003
07/01/2016;0.005998;0.006090;0.005998;0.006039
08/01/2016;0.006040;0.006055;0.005905;0.005933
09/01/2016;0.005937;0.006005;0.005933;0.005982
10/01/2016;0.005982;0.005999;0.005931;0.005956
11/01/2016;0.005963;0.005970;0.005892;0.005895
12/01/2016;0.005892;0.005897;0.005854;0.005854
13/01/2016;0.005836;0.005836;0.005753;0.005794
14/01/2016;0.005795;0.005802;0.005526;0.005529
15/01/2016;0.005528;0.005528;0.005229;0.005229
16/01/2016;0.005221;0.005274;0.005072;0.005112
17/01/2016;0.005110;0.005285;0.005011;0.005266
18/01/2016;0.005270;0.005416;0.005268;0.005326
19/01/2016;0.005330;0.005330;0.005262;0.005271
20/01/2016;0.005271;0.005394;0.005178;0.005381
21/01/2016;0.005370;0.005385;0.005305;0.005313
22/01/2016;0.005314;0.005314;0.005093;0.005114
23/01/2016;0.005109;0.005192;0.005109;0.005120
24/01/2016;0.005121;0.005237;0.005119;0.005219
25/01/2016;0.005218;0.005218;0.005064;0.005135
26/01/2016;0.005138;0.005477;0.005125;0.005419
27/01/2016;0.005408;0.006571;0.005408;0.006506
28/01/2016;0.006507;0.006507;0.006090;0.006226
29/01/2016;0.006228;0.006906;0.005922;0.006840
30/01/2016;0.006824;0.007001;0.006612;0.006634
31/01/2016;0.006631;0.006638;0.006359;0.006399
01/02/2016;0.006398;0.006551;0.006366;0.006542
02/02/2016;0.006545;0.006791;0.006545;0.006768
03/02/2016;0.006771;0.006906;0.006760;0.006883
04/02/2016;0.006882;0.006990;0.006856;0.006970
05/02/2016;0.006965;0.007272;0.006958;0.007262
06/02/2016;0.007273;0.007922;0.007247;0.007922
07/02/2016;0.007924;0.008666;0.007924;0.008338
08/02/2016;0.008375;0.008551;0.007959;0.007991
09/02/2016;0.007999;0.008020;0.007736;0.007815
10/02/2016;0.007827;0.007943;0.007820;0.007853
11/02/2016;0.007857;0.007897;0.007770;0.007815
12/02/2016;0.007822;0.007979;0.007730;0.007979
13/02/2016;0.007961;0.008315;0.007937;0.008257
14/02/2016;0.008263;0.008639;0.008263;0.008590
15/02/2016;0.008593;0.008656;0.008559;0.008631
16/02/2016;0.008631;0.008660;0.008434;0.008451
17/02/2016;0.008456;0.008461;0.008113;0.008138
18/02/2016;0.008135;0.008135;0.007897;0.007995
19/02/2016;0.007994;0.008252;0.007994;0.008245
20/02/2016;0.008253;0.008375;0.008220;0.008253
21/02/2016;0.008246;0.008282;0.008067;0.008100
22/02/2016;0.008100;0.008100;0.008040;0.008050
23/02/2016;0.008055;0.008070;0.007954;0.007970
24/02/2016;0.007971;0.008077;0.007951;0.008076
25/02/2016;0.008063;0.008076;0.008015;0.008027
26/02/2016;0.008025;0.008058;0.008014;0.008058
27/02/2016;0.008063;0.008077;0.007972;0.007972
28/02/2016;0.007977;0.007987;0.007854;0.007889
29/02/2016;0.007895;0.007938;0.007823;0.007923
01/03/2016;0.007923;0.008020;0.007923;0.008006
02/03/2016;0.008005;0.008055;0.007980;0.008030
03/03/2016;0.008028;0.008215;0.007993;0.008162
04/03/2016;0.008036;0.008220;0.008033;0.008096
05/03/2016;0.008117;0.008176;0.007824;0.007878
06/03/2016;0.007857;0.007910;0.007801;0.007860
07/03/2016;0.007835;0.007979;0.007831;0.007918
08/03/2016;0.007911;0.007978;0.007895;0.007949
09/03/2016;0.007951;0.008094;0.007941;0.008056
10/03/2016;0.008051;0.008206;0.008045;0.008190
11/03/2016;0.008183;0.008920;0.008183;0.008803
12/03/2016;0.008801;0.008993;0.008611;0.008700
13/03/2016;0.008698;0.008703;0.008579;0.008635
14/03/2016;0.008624;0.008628;0.008472;0.008479
15/03/2016;0.008478;0.008495;0.008035;0.008186
16/03/2016;0.008185;0.008325;0.008115;0.008178
17/03/2016;0.008183;0.008401;0.008162;0.008287
18/03/2016;0.008284;0.008356;0.008013;0.008119
19/03/2016;0.008124;0.008160;0.007894;0.008016
20/03/2016;0.008015;0.008046;0.007872;0.007960
21/03/2016;0.007956;0.008079;0.007880;0.008047
22/03/2016;0.008028;0.008215;0.008025;0.008110
23/03/2016;0.008109;0.008335;0.008106;0.008332
24/03/2016;0.008335;0.008345;0.008229;0.008230
25/03/2016;0.008234;0.008273;0.008191;0.008191
26/03/2016;0.008190;0.008197;0.008053;0.008066
27/03/2016;0.008062;0.008081;0.008005;0.008029
28/03/2016;0.008025;0.008032;0.007467;0.007564
29/03/2016;0.007573;0.007605;0.007397;0.007566
30/03/2016;0.007568;0.007595;0.007327;0.007332
31/03/2016;0.007332;0.007392;0.007274;0.007391
01/04/2016;0.007391;0.007480;0.007391;0.007418
02/04/2016;0.007418;0.007505;0.007410;0.007501
03/04/2016;0.007504;0.007533;0.007492;0.007503
04/04/2016;0.007502;0.007515;0.007483;0.007491
05/04/2016;0.007488;0.007516;0.007451;0.007474
06/04/2016;0.007467;0.007468;0.007296;0.007296
07/04/2016;0.007308;0.007309;0.006875;0.006875
08/04/2016;0.006875;0.006875;0.006657;0.006671
09/04/2016;0.006674;0.006679;0.006287;0.006288
10/04/2016;0.006289;0.006295;0.005924;0.005937
11/04/2016;0.005937;0.006071;0.005883;0.006048
12/04/2016;0.006048;0.006082;0.005873;0.005885
13/04/2016;0.005884;0.005884;0.005685;0.005695
14/04/2016;0.005697;0.006352;0.005693;0.006289
15/04/2016;0.006303;0.006473;0.006229;0.006424
16/04/2016;0.006421;0.006510;0.006276;0.006510
17/04/2016;0.006499;0.006605;0.006488;0.006499
18/04/2016;0.006503;0.007194;0.006503;0.006987
19/04/2016;0.006987;0.007157;0.006982;0.007118
20/04/2016;0.007117;0.007259;0.007019;0.007244
21/04/2016;0.007265;0.007536;0.007265;0.007433
22/04/2016;0.007439;0.007439;0.007275;0.007284
23/04/2016;0.007282;0.007365;0.007282;0.007346
24/04/2016;0.007344;0.007350;0.007223;0.007251
25/04/2016;0.007250;0.007308;0.007234;0.007283
26/04/2016;0.007279;0.007293;0.007095;0.007095
27/04/2016;0.007094;0.007094;0.006725;0.006725
28/04/2016;0.006720;0.006724;0.006666;0.006686
29/04/2016;0.006689;0.006759;0.006671;0.006759
30/04/2016;0.006761;0.006849;0.006761;0.006812
01/05/2016;0.006812;0.006819;0.006789;0.006791
02/05/2016;0.006791;0.006803;0.006712;0.006714
03/05/2016;0.006716;0.006717;0.006555;0.006560
04/05/2016;0.006558;0.006560;0.006307;0.006323
05/05/2016;0.006323;0.006324;0.006187;0.006193
06/05/2016;0.006198;0.006400;0.006188;0.006399
07/05/2016;0.006395;0.006496;0.006395;0.006490
08/05/2016;0.006490;0.006492;0.006403;0.006404
09/05/2016;0.006402;0.006407;0.006386;0.006399
10/05/2016;0.006399;0.006399;0.006270;0.006272
11/05/2016;0.006272;0.006277;0.006186;0.006189
12/05/2016;0.006188;0.006188;0.006153;0.006167
13/05/2016;0.006167;0.006190;0.006105;0.006109
14/05/2016;0.006111;0.006116;0.006033;0.006073
15/05/2016;0.006072;0.006075;0.006006;0.006061
16/05/2016;0.006061;0.006070;0.006018;0.006022
17/05/2016;0.006022;0.006060;0.006022;0.006023
18/05/2016;0.006022;0.006052;0.006016;0.006028
19/05/2016;0.006025;0.006042;0.005988;0.006032
20/05/2016;0.006028;0.006084;0.006020;0.006084
21/05/2016;0.006090;0.006098;0.005988;0.005990
22/05/2016;0.005989;0.005992;0.005933;0.005936
23/05/2016;0.005935;0.005936;0.005905;0.005909
24/05/2016;0.005911;0.005964;0.005898;0.005962
25/05/2016;0.005962;0.005965;0.005754;0.005756
26/05/2016;0.005757;0.005757;0.005641;0.005669
27/05/2016;0.005670;0.005706;0.005650;0.005679
28/05/2016;0.005676;0.005738;0.005659;0.005682
29/05/2016;0.005682;0.005729;0.005614;0.005662
30/05/2016;0.005664;0.005771;0.005645;0.005748
31/05/2016;0.005746;0.005758;0.005689;0.005706
01/06/2016;0.005701;0.005812;0.005690;0.005809
02/06/2016;0.005809;0.005815;0.005757;0.005766
03/06/2016;0.005766;0.005870;0.005741;0.005827
04/06/2016;0.005829;0.005882;0.005755;0.005780
05/06/2016;0.005779;0.005820;0.005779;0.005796
06/06/2016;0.005795;0.005800;0.005751;0.005769
07/06/2016;0.005764;0.005787;0.005753;0.005780
08/06/2016;0.005780;0.005785;0.005753;0.005770
09/06/2016;0.005769;0.005789;0.005750;0.005788
10/06/2016;0.005785;0.005788;0.005732;0.005736
11/06/2016;0.005737;0.005766;0.005722;0.005766
12/06/2016;0.005766;0.005885;0.005747;0.005852
13/06/2016;0.005852;0.005856;0.005765;0.005824
14/06/2016;0.005828;0.007577;0.005798;0.007105
15/06/2016;0.007093;0.007166;0.006871;0.006887
16/06/2016;0.006889;0.006918;0.006624;0.006676
17/06/2016;0.006681;0.006770;0.006637;0.006693
18/06/2016;0.006693;0.006705;0.006529;0.006604
19/06/2016;0.006585;0.006980;0.006561;0.006813
20/06/2016;0.006818;0.006893;0.006626;0.006626
21/06/2016;0.006630;0.006635;0.005976;0.006172
22/06/2016;0.006179;0.006790;0.006084;0.006495
23/06/2016;0.006519;0.006638;0.006253;0.006381
24/06/2016;0.006380;0.006561;0.006348;0.006434
25/06/2016;0.006427;0.006536;0.006383;0.006414
26/06/2016;0.006409;0.006478;0.006354;0.006400
27/06/2016;0.006402;0.006429;0.006364;0.006398
28/06/2016;0.006407;0.006829;0.006407;0.006773
29/06/2016;0.006775;0.006936;0.006670;0.006777
30/06/2016;0.006778;0.006956;0.006640;0.006657
01/07/2016;0.006651;0.006837;0.006633;0.006787
02/07/2016;0.006788;0.006809;0.006691;0.006699
03/07/2016;0.006714;0.006734;0.006582;0.006607
04/07/2016;0.006621;0.008447;0.006599;0.007028
05/07/2016;0.007029;0.007064;0.006659;0.006699
06/07/2016;0.006716;0.006743;0.006687;0.006691
07/07/2016;0.006689;0.006699;0.006495;0.006598
08/07/2016;0.006609;0.006715;0.006563;0.006715
09/07/2016;0.006717;0.006718;0.006624;0.006679
10/07/2016;0.006672;0.006676;0.006621;0.006674
11/07/2016;0.006671;0.006690;0.006530;0.006534
12/07/2016;0.006534;0.006593;0.006350;0.006350
13/07/2016;0.006350;0.006437;0.006350;0.006411
14/07/2016;0.006408;0.006425;0.006377;0.006385
15/07/2016;0.006388;0.006452;0.006388;0.006442
16/07/2016;0.006442;0.006572;0.006440;0.006572
17/07/2016;0.006571;0.006591;0.006516;0.006538
18/07/2016;0.006538;0.006540;0.006481;0.006482
19/07/2016;0.006479;0.006485;0.006397;0.006405
20/07/2016;0.006404;0.006422;0.006380;0.006395
21/07/2016;0.006390;0.006564;0.006374;0.006416
22/07/2016;0.006417;0.006423;0.006303;0.006303
23/07/2016;0.006303;0.006335;0.006270;0.006317
24/07/2016;0.006328;0.006333;0.006228;0.006286
25/07/2016;0.006293;0.006297;0.006225;0.006246
26/07/2016;0.006246;0.006250;0.005983;0.005998
27/07/2016;0.005996;0.006008;0.005954;0.005969
28/07/2016;0.005973;0.005986;0.005947;0.005974
29/07/2016;0.005974;0.006112;0.005969;0.006111
30/07/2016;0.006112;0.006164;0.006107;0.006121
31/07/2016;0.006118;0.006122;0.005944;0.005945
01/08/2016;0.005942;0.005942;0.005904;0.005906
02/08/2016;0.005911;0.005933;0.005686;0.005690
03/08/2016;0.005688;0.005701;0.005630;0.005646
04/08/2016;0.005646;0.005820;0.005644;0.005816
05/08/2016;0.005821;0.006450;0.005813;0.006447
06/08/2016;0.006448;0.006560;0.006239;0.006337
07/08/2016;0.006337;0.006337;0.006156;0.006178
08/08/2016;0.006160;0.006180;0.006021;0.006027
09/08/2016;0.006027;0.006181;0.006003;0.006163
10/08/2016;0.006147;0.006221;0.006109;0.006194
11/08/2016;0.006196;0.006217;0.006162;0.006189
12/08/2016;0.006188;0.006189;0.006101;0.006123
13/08/2016;0.006119;0.006141;0.006080;0.006092
14/08/2016;0.006092;0.006093;0.005968;0.005994
15/08/2016;0.005993;0.006062;0.005969;0.006045
16/08/2016;0.006045;0.006188;0.006030;0.006140
17/08/2016;0.006144;0.006158;0.006099;0.006109
18/08/2016;0.006100;0.006123;0.006044;0.006122
19/08/2016;0.006120;0.006199;0.006093;0.006119
20/08/2016;0.006126;0.006148;0.006085;0.006114
21/08/2016;0.006116;0.006117;0.006012;0.006052
22/08/2016;0.006055;0.006072;0.005883;0.006000
23/08/2016;0.006002;0.006054;0.005960;0.006019
24/08/2016;0.006015;0.006059;0.005989;0.006052
25/08/2016;0.006049;0.006085;0.006028;0.006079
26/08/2016;0.006083;0.006097;0.006019;0.006030
27/08/2016;0.006018;0.006042;0.005971;0.005975
28/08/2016;0.005974;0.006001;0.005955;0.005963
29/08/2016;0.005961;0.006140;0.005938;0.006131
30/08/2016;0.006120;0.006129;0.006006;0.006026
31/08/2016;0.006036;0.006045;0.005915;0.006012
01/09/2016;0.006013;0.006030;0.005980;0.005984
02/09/2016;0.005979;0.005985;0.005959;0.005970
03/09/2016;0.005967;0.005992;0.005928;0.005964
04/09/2016;0.005964;0.006002;0.005905;0.005954
05/09/2016;0.005948;0.005966;0.005889;0.005932
06/09/2016;0.005933;0.005955;0.005900;0.005912
07/09/2016;0.005915;0.005925;0.005888;0.005892
08/09/2016;0.005892;0.005941;0.005892;0.005902
09/09/2016;0.005901;0.005907;0.005857;0.005869
10/09/2016;0.005872;0.005882;0.005859;0.005870
11/09/2016;0.005866;0.005895;0.005815;0.005842
12/09/2016;0.005844;0.005912;0.005837;0.005897
13/09/2016;0.005899;0.005905;0.005871;0.005886
14/09/2016;0.005888;0.006042;0.005881;0.005961
15/09/2016;0.005969;0.008765;0.005953;0.008303
16/09/2016;0.008286;0.008333;0.007200;0.007446
17/09/2016;0.007391;0.007535;0.006998;0.007018
18/09/2016;0.007017;0.007019;0.006788;0.006853
19/09/2016;0.006855;0.007178;0.006795;0.006858
20/09/2016;0.006865;0.006911;0.006748;0.006785
21/09/2016;0.006809;0.006908;0.006709;0.006829
22/09/2016;0.006833;0.006986;0.006809;0.006843
23/09/2016;0.006848;0.007300;0.006807;0.007211
24/09/2016;0.007234;0.007424;0.007170;0.007362
25/09/2016;0.007356;0.007986;0.007316;0.007855
26/09/2016;0.007872;0.008593;0.007847;0.007963
27/09/2016;0.007959;0.008306;0.007919;0.008229
28/09/2016;0.008220;0.009082;0.008220;0.009048
29/09/2016;0.009065;0.009090;0.008707;0.008914
30/09/2016;0.008910;0.009240;0.008789;0.008830
01/10/2016;0.008839;0.008848;0.008186;0.008205
02/10/2016;0.008197;0.008316;0.008084;0.008165
03/10/2016;0.008165;0.008241;0.008065;0.008089
04/10/2016;0.008115;0.008132;0.007853;0.007853
05/10/2016;0.007873;0.007895;0.007407;0.007435
06/10/2016;0.007429;0.007460;0.007321;0.007382
07/10/2016;0.007377;0.007459;0.007350;0.007377
08/10/2016;0.007371;0.007377;0.007260;0.007310
09/10/2016;0.007310;0.007563;0.007299;0.007543
10/10/2016;0.007542;0.008105;0.007542;0.007978
11/10/2016;0.007993;0.008324;0.007905;0.008234
12/10/2016;0.008208;0.008507;0.007934;0.007949
13/10/2016;0.007951;0.007984;0.007867;0.007982
14/10/2016;0.007980;0.008960;0.007970;0.008767
15/10/2016;0.008769;0.008885;0.008130;0.008146
16/10/2016;0.008137;0.008230;0.008055;0.008078
17/10/2016;0.008079;0.008144;0.008011;0.008030
18/10/2016;0.008032;0.008350;0.008026;0.008350
19/10/2016;0.008348;0.008637;0.008318;0.008627
20/10/2016;0.008636;0.009124;0.008620;0.009092
21/10/2016;0.009090;0.009128;0.008856;0.009029
22/10/2016;0.009027;0.009081;0.008864;0.008972
23/10/2016;0.008977;0.009454;0.008915;0.009454
24/10/2016;0.009432;0.009485;0.009054;0.009065
25/10/2016;0.009065;0.009135;0.008882;0.008891
26/10/2016;0.008884;0.008944;0.008815;0.008835
27/10/2016;0.008833;0.008849;0.008468;0.008481
28/10/2016;0.008483;0.008492;0.008081;0.008143
29/10/2016;0.008157;0.008162;0.007674;0.007732
30/10/2016;0.007738;0.008018;0.007716;0.008014
31/10/2016;0.008014;0.008261;0.008014;0.008196
01/11/2016;0.008197;0.008259;0.008083;0.008102
02/11/2016;0.008104;0.008222;0.008088;0.008222
03/11/2016;0.008221;0.008243;0.007975;0.008021
04/11/2016;0.008015;0.008161;0.008008;0.008157
05/11/2016;0.008157;0.008261;0.008155;0.008230
06/11/2016;0.008230;0.008277;0.008187;0.008193
07/11/2016;0.008197;0.008197;0.008088;0.008108
08/11/2016;0.008111;0.008246;0.008108;0.008206
09/11/2016;0.008205;0.008222;0.008074;0.008079
10/11/2016;0.008081;0.008138;0.008043;0.008136
